2025-04-07 23:25:35 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:25:35 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:25:35 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:25:40 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:27:34 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:27:34 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:27:34 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:27:34 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:27:34 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:27:34 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:27:36 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:02 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:02 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:02 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:02 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:02 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:03 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:13 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:18 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:18 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:18 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:18 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:18 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:18 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:18 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:29:25 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:33:47 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:33:55 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:34:15 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:34:43 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:35:06 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:35:11 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:36:13 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:36:13 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:36:13 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:36:13 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:36:13 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
